checkpoint,dataset,num_pairs,num_inference_steps,guidance_scale,denoise_strength,blend_alpha,region_attn_scale,csim,id_retrieval_top1,expression_error,notes
checkpoint-5000,CelebA-HQ-256,100,20,1.0,0.25,0.65,1.0,0.024533,0.0,0.222982,Current packaged baseline
checkpoint-10000,CelebA-HQ-256,100,20,1.0,0.25,0.65,1.0,0.009938,0.0,0.445716,Current packaged baseline
