pair_index,csim
1,0.07452014088630676
2,0.16728928685188293
3,-0.014436144381761551
4,0.0009365491569042206
5,0.019728831946849823
6,0.08104667067527771
7,-0.061429984867572784
8,-0.006238951347768307
9,0.05878020077943802
10,0.036255721002817154
11,0.04598285257816315
12,0.10484829545021057
13,-0.042205777019262314
14,0.04401836171746254
15,0.095991350710392
16,0.03682782128453255
17,0.019152658060193062
18,-0.0014973655343055725
19,0.08012757450342178
20,-0.11153952032327652
21,0.11912467330694199
22,-0.029422683641314507
23,-0.018016818910837173
24,0.05649876594543457
25,0.005468923598527908
26,0.05627153441309929
27,0.024795513600111008
28,0.039559803903102875
29,-0.012195583432912827
30,0.07560770213603973
31,0.06377174705266953
32,0.03434325382113457
33,-0.020365964621305466
34,0.02395654283463955
35,0.015601234510540962
36,0.20478679239749908
37,0.12227752804756165
38,0.044908974319696426
39,0.004253820516169071
40,-0.05888373777270317
41,0.013599617406725883
42,0.0696154236793518
43,0.028949439525604248
44,-0.01841895654797554
45,0.026193566620349884
46,0.03770767152309418
47,0.08931329846382141
48,0.020200304687023163
49,0.06596881151199341
50,-0.010201718658208847
51,0.041821807622909546
52,-0.06545390188694
53,0.06656724214553833
54,-0.05637213587760925
55,-0.02700018137693405
56,-0.10206857323646545
57,-0.031350214034318924
58,-0.05572128668427467
59,0.09649745374917984
60,-0.01489308662712574
61,0.0650525689125061
62,-0.06717300415039062
63,-0.0032150326296687126
64,-0.010895458981394768
65,0.06199847161769867
66,-0.016867009922862053
67,-0.028119975700974464
68,0.04684805870056152
69,0.1426190584897995
70,0.07467186450958252
71,-0.03460187837481499
72,0.0054086968302726746
73,0.024644773453474045
74,-0.05971579998731613
75,0.11173553764820099
76,0.03642433136701584
77,0.03173812851309776
78,0.008780982345342636
79,-0.049788087606430054
80,-0.1282384991645813
81,0.1552947461605072
82,0.03480825573205948
83,-0.004888981580734253
84,0.05846706032752991
85,0.017077313736081123
86,-0.044538915157318115
87,0.06324425339698792
88,-0.02143961563706398
89,0.007963521406054497
90,0.08500328660011292
91,0.02857549488544464
92,0.05746271088719368
93,0.08635206520557404
94,0.041527990251779556
95,-0.11403724551200867
96,0.12658101320266724
97,-0.09969741106033325
98,0.03880755975842476
99,0.055973947048187256
100,0.11397165060043335
